id,name,description,category,type,intervention_type,path,path_type,key_name,data_type,expected_value,expected_value_raw/0,rule_logic/type,rule_logic/operator,rule_logic/value/0,remediation,rule_logic/exclude/0,registry_type,rule_logic/min,rule_logic/max,expected_value_raw/1,expected_value_raw/2,rule_logic/value/1,rule_logic/value/2,expected_value_raw/3,expected_value_raw/4,expected_value_raw/5,expected_value_raw/6,expected_value_raw/7,expected_value_raw/8,expected_value_raw/9,expected_value_raw/10,rule_logic/value/3,rule_logic/value/4,rule_logic/value/5,rule_logic/value/6,rule_logic/value/7,rule_logic/value/8,rule_logic/value/9,rule_logic/value/10,service_name,expected_state
2.2.1,Access Credential Manager as a trusted caller,Ngăn chặn truy cập trái phép vào trình quản lý thông tin xác thực trong quá trình sao lưu và khôi phục.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Access Credential Manager as a trusted caller,string,No One,,empty,EMPTY,,Set to No One via secpol.msc > User Rights Assignment,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.2,Access this computer from the network,Cho phép kết nối với máy tính thông qua mạng cho các giao thức mạng yêu cầu.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Access this computer from the network,string,"Administrators, Remote Desktop Users","Administrators,Remote Desktop Users",comparison,==,"Administrators,Remote Desktop Users","Set to Administrators, Remote Desktop Users via secpol.msc",,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.3,Act as part of the operating system,Cho phép một quy trình giả mạo danh tính của bất kỳ người dùng nào và truy cập các tài nguyên.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Act as part of the operating system,string,No One,,empty,EMPTY,,Set to No One via secpol.msc,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.4,Adjust memory quotas for a process,Kiểm soát quyền điều chỉnh dung lượng bộ nhớ tối đa có sẵn cho một tiến trình.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Adjust memory quotas for a process,string,"Administrators, LOCAL SERVICE, NETWORK SERVICE","Administrators,LOCAL SERVICE,NETWORK SERVICE",comparison,==,"Administrators,LOCAL SERVICE,NETWORK SERVICE","Set to Administrators, LOCAL SERVICE, NETWORK SERVICE via secpol.msc",,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.5,Allow log on locally,Xác định người dùng nào có thể đăng nhập tương tác trực tiếp vào máy tính.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Allow log on locally,string,"Administrators, Users","Administrators,Users",comparison,==,"Administrators,Users","Set to Administrators, Users via secpol.msc",,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.6,Allow log on through Remote Desktop Services,Xác định người dùng hoặc nhóm nào có quyền đăng nhập thông qua dịch vụ máy tính từ xa.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Allow log on through Remote Desktop Services,string,"Administrators, Remote Desktop Users","Administrators,Remote Desktop Users",comparison,==,"Administrators,Remote Desktop Users","Set to Administrators, Remote Desktop Users",,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.7,Back up files and directories,Cho phép người dùng vượt qua quyền đối với tệp và thư mục để sao lưu hệ thống.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Back up files and directories,string,Administrators,Administrators,comparison,==,Administrators,Set to Administrators only via secpol.msc,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.8,Change the system time,Xác định người dùng và nhóm nào có thể thay đổi ngày giờ trên đồng hồ nội bộ của máy tính.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Change the system time,string,"Administrators, LOCAL SERVICE","Administrators,LOCAL SERVICE",comparison,==,"Administrators,LOCAL SERVICE","Set to Administrators, LOCAL SERVICE via secpol.msc",,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.9,Create a pagefile,Cho phép người dùng thay đổi kích thước của tệp hoán trang.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Create a pagefile,string,Administrators,Administrators,comparison,==,Administrators,Set to Administrators only,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.10,Create a token object,Cho phép một tiến trình tạo mã thông báo truy cập có thể cung cấp đặc quyền trái phép.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Create a token object,string,No One,,empty,EMPTY,,Set to No One via secpol.msc,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.11,Create global objects,Xác định xem người dùng có thể tạo các đối tượng toàn cục có sẵn cho tất cả các phiên hay không.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Create global objects,string,"Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE","Administrators,LOCAL SERVICE,NETWORK SERVICE,SERVICE",comparison,==,"Administrators,LOCAL SERVICE,NETWORK SERVICE,SERVICE","Set to Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE",,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.12,Create permanent shared objects,Ngăn chặn tạo các đối tượng dùng chung vĩnh viễn.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Create permanent shared objects,string,No One,,empty,EMPTY,,Set to No One,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.13,Create symbolic links,Xác định người dùng nào có thể tạo liên kết tượng trưng trên hệ thống.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Create symbolic links,string,Administrators,Administrators,comparison,==,Administrators,Set to Administrators only,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.14,Debug programs,Xác định tài khoản người dùng nào có quyền đính kèm trình gỡ lỗi vào bất kỳ tiến trình hoặc hạt nhân nào.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Debug programs,string,Administrators,Administrators,comparison,==,Administrators,Set to Administrators only,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.15,Deny access to this computer from the network,"Cấm người dùng kết nối với máy tính từ xa qua mạng, ngăn chặn truy cập dữ liệu.",Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Deny access to this computer from the network,string,"Guests, Local account","Guests,Local account",comparison,==,"Guests,Local account","Include Guests, Local account",,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.16,Deny log on as a batch job,Xác định tài khoản nào sẽ không thể đăng nhập vào máy tính dưới dạng công việc hàng loạt.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Deny log on as a batch job,string,Guests,Guests,comparison,==,Guests,Include Guests,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.17,Deny log on as a service,Xác định tài khoản dịch vụ nào bị ngăn đăng ký một tiến trình như một dịch vụ.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Deny log on as a service,string,Guests,Guests,comparison,==,Guests,Include Guests,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.18,Deny log on locally,Xác định người dùng nào bị ngăn đăng nhập trực tiếp tại máy tính.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Deny log on locally,string,Guests,Guests,comparison,==,Guests,Include Guests,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.19,Deny log on through Remote Desktop Services,Xác định xem người dùng có bị ngăn đăng nhập thông qua dịch vụ kết nối từ xa hay không.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Deny log on through Remote Desktop Services,string,"Guests, Local account","Guests,Local account",comparison,==,"Guests,Local account","Include Guests, Local account",,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.20,Enable computer and user accounts to be trusted for delegation,Cho phép người dùng thay đổi cài đặt tin cậy để ủy quyền trên một đối tượng máy tính.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Enable computer and user accounts to be trusted for delegation,string,No One,,empty,EMPTY,,Set to No One,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.21,Force shutdown from a remote system,Cho phép tắt máy tính từ các vị trí từ xa trên mạng.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Force shutdown from a remote system,string,Administrators,Administrators,comparison,==,Administrators,Set to Administrators only,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.22,Generate security audits,Xác định người dùng hoặc tiến trình nào có thể tạo hồ sơ kiểm toán trong nhật ký bảo mật.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Generate security audits,string,"LOCAL SERVICE, NETWORK SERVICE, RESTRICTED SERVICES\PrintSpoolerService","LOCAL SERVICE,NETWORK SERVICE,RESTRICTED SERVICES\PrintSpoolerService",comparison,==,"LOCAL SERVICE,NETWORK SERVICE,RESTRICTED SERVICES\PrintSpoolerService","Set to LOCAL SERVICE, NETWORK SERVICE, RESTRICTED SERVICES\PrintSpoolerService",,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.23,Impersonate a client after authentication,Cho phép các chương trình mạo danh người dùng để hành động thay mặt người dùng.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Impersonate a client after authentication,string,"Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE, RESTRICTED SERVICES\PrintSpoolerService","Administrators,LOCAL SERVICE,NETWORK SERVICE,SERVICE,RESTRICTED SERVICES\PrintSpoolerService",comparison,==,"Administrators,LOCAL SERVICE,NETWORK SERVICE,SERVICE,RESTRICTED SERVICES\PrintSpoolerService",Set correctly via secpol.msc,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.24,Increase scheduling priority,Xác định xem người dùng có thể tăng lớp ưu tiên cơ sở của một tiến trình hay không.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Increase scheduling priority,string,"Administrators, Window Manager\Window Manager Group","Administrators,Window Manager\Window Manager Group",comparison,==,"Administrators,Window Manager\Window Manager Group","Set to Administrators, Window Manager Group",,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.25,Load and unload device drivers,Cho phép người dùng tải động một trình điều khiển thiết bị mới trên hệ thống.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Load and unload device drivers,string,Administrators,Administrators,comparison,==,Administrators,Set to Administrators only,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.26,Lock pages in memory,"Cho phép một tiến trình giữ dữ liệu trong bộ nhớ vật lý, ngăn hệ thống chuyển dữ liệu sang bộ nhớ ảo.",Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Lock pages in memory,string,No One,,empty,EMPTY,,Set to No One,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.29,Manage auditing and security log,Xác định người dùng nào có thể thay đổi các tùy chọn kiểm toán và xóa nhật ký bảo mật.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Manage auditing and security log,string,Administrators,Administrators,comparison,==,Administrators,Set to Administrators only,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.30,Modify an object label,Xác định tài khoản người dùng nào có thể sửa đổi nhãn tính toàn vẹn của các đối tượng.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Modify an object label,string,No One,,empty,EMPTY,,Set to No One,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.31,Modify firmware environment values,Cho phép sửa đổi các biến môi trường phần sụn.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Modify firmware environment values,string,Administrators,Administrators,comparison,==,Administrators,Set to Administrators only,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.32,Perform volume maintenance tasks,Cho phép thực hiện các tác vụ bảo trì phân vùng ổ đĩa.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Perform volume maintenance tasks,string,Administrators,Administrators,comparison,==,Administrators,Set to Administrators only,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.33,Profile single process,Cấp quyền theo dõi hiệu suất của một tiến trình duy nhất.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Profile single process,string,Administrators,Administrators,comparison,==,Administrators,Set to Administrators only,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.34,Profile system performance,Cấp quyền theo dõi hiệu suất toàn bộ hệ thống.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Profile system performance,string,"Administrators, NT SERVICE\WdiServiceHost","Administrators,NT SERVICE\WdiServiceHost",comparison,==,"Administrators,NT SERVICE\WdiServiceHost","Set to Administrators, NT SERVICE\WdiServiceHost",,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.35,Replace a process level token,Cấp quyền thay thế mã xác thực cấp tiến trình.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Replace a process level token,string,"LOCAL SERVICE, NETWORK SERVICE","LOCAL SERVICE,NETWORK SERVICE",comparison,==,"LOCAL SERVICE,NETWORK SERVICE","Set to LOCAL SERVICE, NETWORK SERVICE",,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.36,Restore files and directories,Cho phép phục hồi các tệp và thư mục từ bản sao lưu.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Restore files and directories,string,Administrators,Administrators,comparison,==,Administrators,Set to Administrators only,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.37,Shut down the system,Cho phép tắt hệ điều hành.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Shut down the system,string,"Administrators, Users","Administrators,Users",comparison,==,"Administrators,Users","Set to Administrators, Users",,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.2.38,Take ownership of files or other objects,Cấp quyền chiếm quyền sở hữu tệp hoặc các đối tượng khác.,Local Policies / User Rights Assignment,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment,Secpol,Take ownership of files or other objects,string,Administrators,Administrators,comparison,==,Administrators,Set to Administrators only,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.3.1.1,Accounts: Guest account status,Vô hiệu hóa tài khoản khách mặc định để ngăn chặn truy cập ẩn danh.,Local Policies / Security Options,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\Security Options,Secpol,Accounts: Guest account status,integer,Disabled,0,comparison,==,0,Disable via secpol.msc > Security Options,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
2.3.1.2,Accounts: Limit local account use of blank passwords to console logon only,Giới hạn tài khoản không có mật khẩu chỉ được đăng nhập trực tiếp.,Local Policies / Security Options,Automated,Registry,HKLM\SYSTEM\CurrentControlSet\Control\Lsa,Registry,LimitBlankPasswordUse,integer,Enabled,1,comparison,==,1,Set LimitBlankPasswordUse = 1,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
2.3.1.3,Accounts: Rename administrator account,Thay đổi tên tài khoản quản trị viên mặc định để tránh các cuộc tấn công dò đoán.,Local Policies / Security Options,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\Security Options,Secpol,Accounts: Rename administrator account,string,<custom name - not 'Administrator'>,,not_equals,NOT_EQUALS,Administrator,Rename from 'Administrator' to a custom name via secpol.msc,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.3.1.4,Accounts: Rename guest account,Thay đổi tên tài khoản khách mặc định để tăng tính bảo mật.,Local Policies / Security Options,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Local Policies\Security Options,Secpol,Accounts: Rename guest account,string,<custom name - not 'Guest'>,,not_equals,NOT_EQUALS,Guest,Rename from 'Guest' to a custom name,,SZ,,,,,,,,,,,,,,,,,,,,,,,,
2.3.2.1,Audit: Force audit policy subcategory settings,Buộc sử dụng chính sách kiểm toán chi tiết thay vì danh mục cũ.,Local Policies / Security Options,Automated,Registry,HKLM\SYSTEM\CurrentControlSet\Control\Lsa,Registry,SCENoApplyLegacyAuditPolicy,integer,Enabled,1,comparison,==,1,Set SCENoApplyLegacyAuditPolicy = 1,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
2.3.2.2,Audit: Shut down system immediately if unable to log security audits,Không tắt hệ thống ngay lập tức khi không thể ghi nhật ký bảo mật.,Local Policies / Security Options,Automated,Registry,HKLM\SYSTEM\CurrentControlSet\Control\Lsa,Registry,CrashOnAuditFail,integer,Disabled,0,comparison,==,0,Set CrashOnAuditFail = 0,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
2.3.4.1,Devices: Prevent users from installing printer drivers,Ngăn chặn người dùng tự ý cài đặt trình điều khiển máy in.,Local Policies / Security Options,Automated,Registry,HKLM\SYSTEM\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers,Registry,AddPrinterDrivers,integer,Enabled,1,comparison,==,1,Set AddPrinterDrivers = 1,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
2.3.6.1,Domain member: Digitally encrypt or sign secure channel data (always),Yêu cầu mã hóa hoặc ký kỹ thuật số toàn bộ dữ liệu trên kênh bảo mật mọi lúc.,Local Policies / Security Options,Automated,Registry,HKLM\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters,Registry,RequireSignOrSeal,integer,Enabled,1,comparison,==,1,Set RequireSignOrSeal = 1,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
2.3.6.2,Domain member: Digitally encrypt secure channel data (when possible),Mã hóa dữ liệu trên kênh bảo mật khi có khả năng.,Local Policies / Security Options,Automated,Registry,HKLM\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters,Registry,SealSecureChannel,integer,Enabled,1,comparison,==,1,Set SealSecureChannel = 1,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
2.3.6.3,Domain member: Digitally sign secure channel data (when possible),Ký kỹ thuật số dữ liệu kênh bảo mật khi có khả năng.,Local Policies / Security Options,Automated,Registry,HKLM\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters,Registry,SignSecureChannel,integer,Enabled,1,comparison,==,1,Set SignSecureChannel = 1,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
2.3.6.4,Domain member: Disable machine account password changes,Cho phép máy tính thay đổi mật khẩu tài khoản máy định kỳ.,Local Policies / Security Options,Automated,Registry,HKLM\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters,Registry,DisablePasswordChange,integer,Disabled,0,comparison,==,0,Set DisablePasswordChange = 0,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
2.3.6.5,Domain member: Maximum machine account password age,Giới hạn độ tuổi tối đa của mật khẩu tài khoản máy tính.,Local Policies / Security Options,Automated,Registry,HKLM\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters,Registry,MaximumPasswordAge,integer,"30 or fewer days, but not 0",30,comparison,<=,30,Set MaximumPasswordAge = 30 or fewer,0,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
2.3.6.6,Domain member: Require strong session key,Yêu cầu khóa phiên mạnh cho kết nối mạng.,Local Policies / Security Options,Automated,Registry,HKLM\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters,Registry,RequireStrongKey,integer,Enabled,1,comparison,==,1,Set RequireStrongKey = 1,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
2.3.7.1,Interactive logon: Do not require CTRL+ALT+DEL,Yêu cầu tổ hợp phím trước khi đăng nhập để tăng bảo mật.,Local Policies / Security Options,Automated,Registry,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,Registry,DisableCAD,integer,Disabled,0,comparison,==,0,Set DisableCAD = 0,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
2.3.7.2,Interactive logon: Don't display last signed-in,Ẩn thông tin về người dùng đăng nhập gần nhất.,Local Policies / Security Options,Automated,Registry,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,Registry,DontDisplayLastUserName,integer,Enabled,1,comparison,==,1,Set DontDisplayLastUserName = 1,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
2.3.7.3,Interactive logon: Machine inactivity limit,Khóa máy tính sau một thời gian không hoạt động.,Local Policies / Security Options,Automated,Registry,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,Registry,InactivityTimeoutSecs,integer,"900 or fewer second(s), but not 0",900,comparison,<=,900,Set InactivityTimeoutSecs = 900 or fewer,0,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
